id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores,home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_points,away_line_scores,away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes
332412579,2013,1,regular,2013-08-29T22:00:00.000Z,,False,False,81572.0,3994.0,Williams-Brice Stadium,2579,South Carolina,SEC,27.0,"[17, 3, 7, 0]",0.6555861551331129,1758.0,1784.0,153,North Carolina,ACC,10.0,"[0, 7, 3, 0]",0.3444138448668871,1633.0,1607.0,4.25890580578514,,
332412309,2013,1,regular,2013-08-29T22:00:00.000Z,,False,False,20790.0,3696.0,Dix Stadium,2309,Kent State,Mid-American,17.0,"[7, 0, 0, 10]",0.3961574609410078,1530.0,1536.0,2335,Liberty,,10.0,"[0, 3, 7, 0]",0.6038425390589921,1467.0,1461.0,4.92354496667758,,
332410154,2013,1,regular,2013-08-29T22:30:00.000Z,,False,False,26202.0,3630.0,BB&T Field,154,Wake Forest,ACC,31.0,"[3, 14, 7, 7]",0.999789097135088,,,2506,Presbyterian College,,7.0,"[7, 0, 0, 0]",0.0002109028649118,,,4.07002718054182,,
332412050,2013,1,regular,2013-08-29T23:00:00.000Z,,False,False,16327.0,3919.0,Scheumann Stadium,2050,Ball State,Mid-American,51.0,"[9, 7, 21, 14]",0.913624850459138,,,2287,Illinois State,,28.0,"[14, 7, 0, 7]",0.086375149540862,,,6.11620212911698,,
332410135,2013,1,regular,2013-08-29T23:00:00.000Z,,False,False,44217.0,3953.0,TCF Bank Stadium,135,Minnesota,Big Ten,51.0,"[3, 13, 14, 21]",0.4483215854530675,1417.0,1466.0,2439,UNLV,Mountain West,23.0,"[6, 7, 3, 7]",0.5516784145469324,1207.0,1158.0,5.59899597331986,,
332410189,2013,1,regular,2013-08-29T23:00:00.000Z,,False,False,18142.0,3700.0,Doyt Perry Stadium,189,Bowling Green,Mid-American,34.0,"[3, 3, 7, 21]",0.6485347639292574,1450.0,1543.0,202,Tulsa,Conference USA,7.0,"[0, 0, 0, 7]",0.3514652360707426,1635.0,1542.0,5.35231614515028,,
332412116,2013,1,regular,2013-08-29T23:00:00.000Z,,False,False,35115.0,3652.0,Bright House Networks Stadium,2116,UCF,American Athletic,38.0,"[14, 10, 14, 0]",0.9950796210798764,1656.0,1681.0,2006,Akron,Mid-American,7.0,"[0, 0, 0, 7]",0.0049203789201235,1144.0,1119.0,4.05537719006069,,
332410084,2013,1,regular,2013-08-29T23:00:00.000Z,,False,False,40278.0,3830.0,Memorial Stadium,84,Indiana,Big Ten,73.0,"[21, 24, 21, 7]",0.999810546521084,,,282,Indiana State,,35.0,"[7, 14, 7, 7]",0.0001894534789158,,,2.04674235606456,,
332412393,2013,1,regular,2013-08-29T23:30:00.000Z,,False,False,20011.0,3725.0,"Johnny Red"""" Floyd Stadium""""",2393,Middle Tennessee,Conference USA,45.0,"[21, 10, 7, 7]",0.8618853071388419,,,2717,Western Carolina,,24.0,"[0, 18, 0, 6]",0.138114692861158,,,2.08241588345359,,
332410006,2013,1,regular,2013-08-29T23:30:00.000Z,,False,False,15240.0,3797.0,Ladd Peebles Stadium,6,South Alabama,Sun Belt,21.0,"[0, 7, 7, 7]",0.2885044612495392,,,253,Southern Utah,,22.0,"[10, 0, 3, 9]",0.7114955387504608,,,6.48900149414574,,
332410041,2013,1,regular,2013-08-29T23:30:00.000Z,,False,False,30689.0,3892.0,Rentschler Field,41,Connecticut,American Athletic,18.0,"[7, 3, 0, 8]",0.5387236449789601,,,119,Towson,,33.0,"[7, 6, 6, 14]",0.4612763550210399,,,5.27072972833886,,
332410254,2013,1,regular,2013-08-30T00:00:00.000Z,,False,False,45237.0,587.0,Rice-Eccles Stadium,254,Utah,Pac-12,30.0,"[14, 0, 10, 6]",0.637053541562427,1509.0,1517.0,328,Utah State,Mountain West,26.0,"[3, 14, 6, 3]",0.362946458437573,1667.0,1659.0,7.01335958534234,,
